iterationName	gameid	time	trialNum	intendedName	svgData	currStrokeNum	shiftKeyUsed	score	bonus_score	startStrokeTime	endStrokeTime	eventType
run0_bonusmeter	8252-f980ebb3-8567-4382-a031-76115c3ca99b	1531335736095	1	bluesport	M81,220c-17.33566,0 -17.49535,-33.54703 -18,-42c-1.50975,-25.28831 0,-50.66667 0,-76c0,-24.42817 -6.05308,-49.26327 23,-42	1	0	0	0	1531335735802	1531335736014	stroke
run0_bonusmeter	8252-f980ebb3-8567-4382-a031-76115c3ca99b	1531335741663	2	white	M183,189c-30.04872,0 -48.22676,-14.84353 -49,-45c-0.41932,-16.35342 -8.39114,-53.65215 19,-50c17.50434,2.33391 24.90722,37.61855 17,51c-12.48944,21.13598 -65.95986,26.02007 -86,16	1	0	3	0.88	1531335741200	1531335741652	stroke
run0_bonusmeter	8252-f980ebb3-8567-4382-a031-76115c3ca99b	1531335747800	3	brown	M253,145c-20.35129,0 -102.38282,5.34288 -112,0c-13.61401,-7.56334 1.2603,-35.70961 8,-42c29.84416,-27.85454 52.97326,11.48234 59,38c8.29543,36.4999 -2.92645,61.53032 -36,76	1	0	6	1.72	1531335747381	1531335747765	stroke
run0_bonusmeter	8252-f980ebb3-8567-4382-a031-76115c3ca99b	1531335754074	4	redantique	M148,136c0,-21.33333 0,-42.66667 0,-64c0,-1.20185 0.79815,-3 2,-3	1	0	9	2.6	1531335753832	1531335754070	stroke
run0_bonusmeter	8252-f980ebb3-8567-4382-a031-76115c3ca99b	1531335760268	5	beetle	M144,210c-28.37438,0 -18,-67.50317 -18,-85	1	0	12	3.44	1531335760075	1531335760262	stroke
run0_bonusmeter	8252-f980ebb3-8567-4382-a031-76115c3ca99b	1531335766290	6	redsport	M185,208c-12,-8.66667 -25.298,-15.77365 -36,-26c-17.60673,-16.82421 -18.01764,-84.96471 -8,-105	1	0	12	3.44	1531335766044	1531335766280	stroke
run0_bonusmeter	8252-f980ebb3-8567-4382-a031-76115c3ca99b	1531335766512	6	redsport	M148,80c-1,0 -2,0 -3,0	2	0	12	3.44	1531335766374	1531335766509	stroke
run0_bonusmeter	8252-f980ebb3-8567-4382-a031-76115c3ca99b	1531335772768	7	bluesedan	M173,108c-14.84526,0 -74.47154,12.31096 -61,-18c10.2928,-23.15881 50.37061,1.62732 27,14c-6.34579,3.35954 -13.15307,5.83781 -20,8c-7.19014,2.27057 -16.34824,5 -24,5	1	0	15	4.28	1531335772259	1531335772758	stroke
run0_bonusmeter	8252-f980ebb3-8567-4382-a031-76115c3ca99b	1531335779138	8	hatchback	M140,154c-3.73562,-18.67812 -1,-39.90971 -1,-59c0,-2 -1.97279,-5.6712 0,-6c27.79592,-4.63265 54.23282,-15 83,-15c1.59775,0 4,0.41046 4,2	1	0	18	5.16	1531335778634	1531335779123	stroke
run0_bonusmeter	8252-f980ebb3-8567-4382-a031-76115c3ca99b	1531335784417	9	brown	M216,112c-3.79311,0 -14.81944,1.49901 -18,-1c-5.55489,-4.36456 -8.25277,-17.02215 -9,-23c-2.74481,-21.95849 3.05841,-29.47053 26,-33c16.88069,-2.59703 24.83458,-1.16436 33,14c1.30045,2.41512 6.56965,12.96315 4,16c-11.74369,13.8789 -87.94211,70.05789 -102,56	1	0	21	6	1531335783805	1531335784401	stroke
run0_bonusmeter	8252-f980ebb3-8567-4382-a031-76115c3ca99b	1531335790870	10	bluesport	M200,209c-16.47294,0 -23.63442,-65.36558 -18,-71c1.69967,-1.69967 4.41715,2.19103 6,4c3.99957,4.57093 29.4009,47.5991 24,53c-4.15666,4.15666 -22.09036,-8 -28,-8	1	0	21	6	1531335790091	1531335790862	stroke
run0_bonusmeter	8252-f980ebb3-8567-4382-a031-76115c3ca99b	1531335800511	11	hatchback	M131,171c0,-31.33333 0,-62.66667 0,-94c0,-6.08223 -7.4901,-44.18131 12,-32c4.11568,2.5723 3.59695,9.16336 4,14c3.43355,41.20259 -57.0756,73.9244 -80,51	1	0	21	6	1531335800062	1531335800502	stroke
run0_bonusmeter	8252-f980ebb3-8567-4382-a031-76115c3ca99b	1531335806116	12	white	M213,118c-4.14909,0 -20.85853,2.09431 -24,0c-4.73984,-3.15989 -2,-19.95365 -2,-24c0,-38.66941 25.32141,-55.91757 58,-71	1	0	24	6.84	1531335805873	1531335806107	stroke
run0_bonusmeter	8252-f980ebb3-8567-4382-a031-76115c3ca99b	1531335811890	13	brown	M206,141c-6.69534,-2.67814 -13.49526,-6.36907 -18,-12c-4.33302,-5.41628 -8.96215,-10.76441 -12,-17c-28.6227,-58.75187 31.2317,-48.30489 42,-16c7.53424,22.60272 -62.3349,47.6651 -80,30	1	0	27	7.72	1531335811391	1531335811873	stroke
run0_bonusmeter	8252-f980ebb3-8567-4382-a031-76115c3ca99b	1531335819373	14	white	M206,97c-25.30516,0 -38.09669,-42.75828 -30,-63c1.23797,-3.09492 6.6718,0.1849 10,0c18.88713,-1.04928 63.95024,29.41493 32,39c-6.60549,1.98165 -14.15309,1 -21,1	1	0	30	8.52	1531335818845	1531335819359	stroke
run0_bonusmeter	8252-f980ebb3-8567-4382-a031-76115c3ca99b	1531335825575	15	bluesport	M134,195c-4.17886,-8.35771 -8.51953,-75.97396 -4,-82c2.8,-3.73333 9.33333,0 14,0c5.65269,0 12.00374,-0.84327 17,3c37.84288,29.10991 -42.47752,86.39186 -83,56	1	0	33	9.4	1531335825096	1531335825554	stroke
run0_bonusmeter	8252-f980ebb3-8567-4382-a031-76115c3ca99b	1531335831279	16	hatchback	M148,234c-26.24618,-13.12309 -24,-43.96938 -24,-68c0,-15.34636 -5.58698,-27.24605 11,-28c0.44746,-0.02034 23.31412,-1.89529 26,-1c15.31318,5.10439 7.37944,31.86167 5,39c-1.94026,5.82077 -60.85363,11.07319 -71,6	1	0	33	9.4	1531335830750	1531335831263	stroke
run0_bonusmeter	8252-f980ebb3-8567-4382-a031-76115c3ca99b	1531335838372	17	bluesport	M212,146c-29.38139,0 -62.35374,5.09955 -89,-10c-6.63,-3.757 -26.04224,-24.76442 -18,-35c7.0368,-8.95592 25.63408,-16.68849 34,-20c17.01983,-6.73701 61.60622,-20.1042 77,-3c21.97667,24.41852 15.53707,71 -21,71	1	0	36	10.200000000000001	1531335837843	1531335838357	stroke
run0_bonusmeter	8252-f980ebb3-8567-4382-a031-76115c3ca99b	1531335845646	18	hatchback	M192,187c-9.30795,0 -22.22733,2.04696 -31,0c-10.64196,-2.48312 -44.80589,-30.6747 -30,-44c3.81941,-3.43747 17.0534,-6.01335 21,-7	1	0	39	11.000000000000002	1531335845361	1531335845622	stroke
