iterationName	gameid	time	trialNum	intendedName	svgData	currStrokeNum	shiftKeyUsed	score	bonus_score	startStrokeTime	endStrokeTime	eventType
run0_bonusmeter	9553-f10821b2-e94c-4ba3-ab29-51e1d86d848a	1531339186531	1	pug	M144,228c-18.61203,-6.20401 -30.81588,-114.83722 -16,-131c3.6109,-3.93916 10.65943,-0.81584 16,-1c11.92195,-0.4111 19.63913,-0.12095 28,9c29.1888,31.84233 -58.29586,105.39168 -84,117c-7.15037,3.2292 -15.15427,5 -23,5c-6.43353,0 -2.06246,-8 1,-8	1	0	0	0	1531339185662	1531339186333	stroke
run0_bonusmeter	9553-f10821b2-e94c-4ba3-ab29-51e1d86d848a	1531339194237	2	bloodhound	M122,224c-19.62257,0 -20.78528,-51.25766 -22,-63c-0.90875,-8.7846 -8.11979,-72.76042 -3,-83c15.62567,-31.25135 52,11.39865 52,31	1	0	0	0	1531339193783	1531339194221	stroke
run0_bonusmeter	9553-f10821b2-e94c-4ba3-ab29-51e1d86d848a	1531339195684	2	bloodhound	M240,113c-20.33333,0 -40.66667,0 -61,0	2	0	0	0	1531339195365	1531339195674	stroke
run0_bonusmeter	9553-f10821b2-e94c-4ba3-ab29-51e1d86d848a	1531339196452	2	bloodhound	M185,239c-5.97057,0 -28.99535,3.0512 -30,-8c-0.37454,-4.11996 2.52163,-35 -2,-35	3	0	0	0	1531339196050	1531339196434	stroke
run0_bonusmeter	9553-f10821b2-e94c-4ba3-ab29-51e1d86d848a	1531339204737	3	weimaraner	M45,165c-1.16399,-2.32798 -21,-21 -21,-21c0,0 1.61238,4.41857 2,5c6.62715,9.94072 11.50502,18.07358 23,23c3.29997,1.41427 6.50491,1 10,1c2.35702,0 9.35702,-1 7,-1c-29.35266,0 -27.62748,61.74156 -5,35c4.13605,-4.88806 7.69279,-10.26207 12,-15c3.77058,-4.14764 9.4917,-7.9834 12,-13	1	0	3	0.76	1531339203320	1531339204708	stroke
run0_bonusmeter	9553-f10821b2-e94c-4ba3-ab29-51e1d86d848a	1531339210749	4	basset	M155,127c-11.36874,0 -34.94917,-5.24066 -44,2c-12.62004,10.09603 -5.48884,47.0485 9,51c28.43874,7.75602 39.43279,-25 56,-25	1	0	6	1.56	1531339210051	1531339210738	stroke
run0_bonusmeter	9553-f10821b2-e94c-4ba3-ab29-51e1d86d848a	1531339216977	5	doberman	M63,144c0,-1 0,-2 0,-3c0,-4 0,-8 0,-12c0,-9.33333 0,-18.66667 0,-28c0,-1.52266 0,-26 0,-26c0,0 -0.65653,3.46809 0,5c1.98498,4.63162 21,27.60031 21,28	1	0	6	1.56	1531339216536	1531339216956	stroke
run0_bonusmeter	9553-f10821b2-e94c-4ba3-ab29-51e1d86d848a	1531339217615	5	doberman	M123,106c5.76781,-5.76781 15.44109,-7.90772 23,-11c27.63833,-11.30659 17.50158,-1.00948 14,20	2	0	6	1.56	1531339217253	1531339217607	stroke
run0_bonusmeter	9553-f10821b2-e94c-4ba3-ab29-51e1d86d848a	1531339224296	6	bullmastiff	M28,140c25.62639,0 55.10766,-4.55062 80,2c25.12958,6.61305 40.12813,22 68,22c27.99111,0 54.23749,-4.01696 82,-6c3.65735,-0.26124 9.36022,-3.27957 11,0c8.30267,16.60534 -46.62388,33.94627 -54,35c-9.61714,1.37388 -19.1713,-2 -26,-2	1	0	9	2.4	1531339223513	1531339224275	stroke
run0_bonusmeter	9553-f10821b2-e94c-4ba3-ab29-51e1d86d848a	1531339230314	7	chihuahua	M120,218c-22.96824,-9.84353 -49.23457,-90.76543 -36,-104c10.56906,-10.56906 31.03405,3.05107 37,12c0.99572,1.49358 2,5 2,5c0,0 -0.7407,-6.53401 1,-9c7.33935,-10.39742 28.41971,-23.54219 36,-29	1	0	12	3.2	1531339229654	1531339230301	stroke
run0_bonusmeter	9553-f10821b2-e94c-4ba3-ab29-51e1d86d848a	1531339237046	8	goldenretriever	M59,127c-34.49074,0 -5.39989,-81.59992 18,-66c27.82732,18.55155 -37.28041,66.62612 -46,55c-8.79328,-11.72437 21.29473,-22.23161 25,0c0.30999,1.85996 -2.17068,3.54267 -4,4	1	0	15	4.08	1531339235978	1531339237021	stroke
run0_bonusmeter	9553-f10821b2-e94c-4ba3-ab29-51e1d86d848a	1531339246361	9	goldenretriever	M126,181c-28.73555,0 -32.79282,-64.20718 -23,-74	1	0	15	4.08	1531339246112	1531339246354	stroke
run0_bonusmeter	9553-f10821b2-e94c-4ba3-ab29-51e1d86d848a	1531339251380	10	basset	M189,197c-6.90682,-34.5341 -27,-68.35458 -27,-104	1	0	18	4.96	1531339251162	1531339251373	stroke
run0_bonusmeter	9553-f10821b2-e94c-4ba3-ab29-51e1d86d848a	1531339251907	10	basset	M234,150c-10.26499,-17.96373 -21.51318,-35.53954 -28,-55	2	0	18	4.96	1531339251648	1531339251897	stroke
run0_bonusmeter	9553-f10821b2-e94c-4ba3-ab29-51e1d86d848a	1531339252435	10	basset	M248,98c-12.12575,-6.06288 -29.33878,-14.33878 -39,-24	3	0	18	4.96	1531339252189	1531339252426	stroke
