iterationName	gameid	time	trialNum	intendedName	svgData	currStrokeNum	shiftKeyUsed	score	bonus_score	startStrokeTime	endStrokeTime	eventType
run0_bonusmeter	6620-f52e855d-e15a-4e57-86f8-46d8cd83fe33	1531340141391	1	bullmastiff	M96,103c15.82773,15.82773 33.319,29.31603 53,40c10.24662,5.56245 22,8 22,8c0,0 -4.54896,-0.77448 -5,-1c-6.65588,-3.32794 -13.04335,-6.12139 -20,-9c-14.48519,-5.99387 -57.08143,-24.7557 -49,-49c4.83155,-14.49466 21.94886,6.05114 15,13c-6.80863,6.80863 -47,-8.84126 -47,-15	1	0	0	0	1531340140364	1531340141287	stroke
run0_bonusmeter	6620-f52e855d-e15a-4e57-86f8-46d8cd83fe33	1531340143711	1	bullmastiff	M201,109c0,15.28778 3.70636,34.17456 0,49c-0.27056,1.08224 -10.71557,-3.85779 -11,-4c-7.20834,-3.60417 -27.88207,-15.35378 -24,-27c0.15172,-0.45517 77.57802,-22.96091 93,-27c4.43848,-1.16246 43.4221,-15.5779 49,-10c9.4133,9.4133 -12.3942,21.18535 -17,24c-10.06453,6.15054 -63.28574,22.00004 -69,30c-15.17848,21.24988 -21.17088,107.34621 -24,132c-0.53726,4.68186 2.23147,27.76853 -2,32c-3.75069,3.75069 -6.97568,-5.36155 -16,-23c-15.44468,-30.18733 -29.09045,-61.24121 -41,-93c-2.74621,-7.32323 -9.1814,-37.5907 -16,-41c-2.63844,-1.31922 -3.93142,2.57523 -5,4c-6.02279,8.03038 -35.73745,78.22009 -49,57c-12.16795,-19.46873 -6,-54.92148 -6,-76c0,-5.28406 4,-33.47513 4,-29	2	0	0	0	1531340141615	1531340143670	stroke
run0_bonusmeter	6620-f52e855d-e15a-4e57-86f8-46d8cd83fe33	1531340150402	2	pug	M76,62c-12.90161,0 -8,10.83872 -8,22c0,1.31026 -0.78763,4.40412 1,5c9.18503,3.06168 -0.43516,-18 13,-18c1.7507,0 7,-0.99663 7,1	1	0	3	0.72	1531340149691	1531340150386	stroke
run0_bonusmeter	6620-f52e855d-e15a-4e57-86f8-46d8cd83fe33	1531340157683	3	goldenretriever	M58,92c-2.04573,0 -10.23394,-1.32454 -12,0c-9.95956,7.46967 -29.49876,48.25186 -21,61c9.54548,14.31821 50.3436,-27.6564 56,-22c0.94281,0.94281 0.68599,2.85668 0,4c-2.63718,4.3953 -22.96989,31.03011 -20,34c7.78304,7.78304 25.39313,-17.2759 28,-21c4.6349,-6.62129 14.12721,-13 12,-13	1	0	3	0.72	1531340156343	1531340157660	stroke
run0_bonusmeter	6620-f52e855d-e15a-4e57-86f8-46d8cd83fe33	1531340192303	5	chihuahua	M237,182c-15.77496,0 -40.7279,3.73288 -54,-6c-28.0609,-20.57799 -29.3856,-62.03277 -24,-93c4.06149,-23.35359 28.84855,-62.40065 59,-49c4.20916,1.87074 18.37198,18.79032 20,24c12.87854,41.21133 8.57438,50.27864 -19,86c-28.08332,36.38066 -66.07522,39 -107,39	1	0	6	1.52	1531340191741	1531340192265	stroke
run0_bonusmeter	6620-f52e855d-e15a-4e57-86f8-46d8cd83fe33	1531340198353	6	basset	M98,89c-34.9447,0 -40.89388,64.94752 -7,71c61.95436,11.06328 47.87348,-33.43674 79,-49c2.84416,-1.42208 2.70943,4.69242 3,6c0.63907,2.8758 0.37481,15.6874 3,17c0.81227,0.40614 18.93232,-13.93232 21,-16	1	0	9	2.4	1531340197490	1531340198332	stroke
run0_bonusmeter	6620-f52e855d-e15a-4e57-86f8-46d8cd83fe33	1531340204313	7	doberman	M43,119c0,-21.33333 0,-42.66667 0,-64c0,-7.66667 0,-15.33333 0,-23c0,-3 -2.4,-10.8 0,-9c7.66475,5.74857 33.56912,45 37,45	1	0	12	3.2399999999999998	1531340203805	1531340204302	stroke
run0_bonusmeter	6620-f52e855d-e15a-4e57-86f8-46d8cd83fe33	1531340210491	8	weimaraner	M95,124c-29.83956,0 -4.45127,13.31453 12,14c7.09527,0.29564 15.09899,0.72525 22,-1c0.45733,-0.11433 1.42164,0.78918 1,1c-5.02077,2.51039 -3.89208,2.61151 1,2c5.38437,-0.67305 10.73574,-1.68394 16,-3c8.29714,-2.07428 18.36307,-7 27,-7	1	0	15	4.12	1531340209676	1531340210470	stroke
run0_bonusmeter	6620-f52e855d-e15a-4e57-86f8-46d8cd83fe33	1531340217718	9	chihuahua	M61,117c-2.31759,-2.31759 -1,-9.12296 -1,-12c0,-9.22245 13.4455,3.4455 17,7c3.09755,3.09755 36.33229,-5.06646 46,-7c11.69114,-2.33823 17.55381,10 4,10	1	0	18	4.96	1531340216095	1531340217692	stroke
run0_bonusmeter	6620-f52e855d-e15a-4e57-86f8-46d8cd83fe33	1531340224687	10	weimaraner	M58,100c-13.12606,0 -29.60984,47.15607 -20,51c14.58412,5.83365 33.00087,3.59965 47,-2c1.79002,-0.71601 24.93905,-16.06095 26,-15c2.66494,2.66494 -23.15097,18.84903 -23,19c3.94952,3.94952 58.00435,-6.2747 64,-9c1.94306,-0.88321 5,-1.86563 5,-4	1	0	21	5.76	1531340223658	1531340224676	stroke
