iterationName	gameid	time	trialNum	intendedName	svgData	currStrokeNum	shiftKeyUsed	score	bonus_score	startStrokeTime	endStrokeTime	eventType
run0_bonusmeter_debug	0475-035859ea-968b-4bef-9d0c-ff12e6e1d940	1531346512502	1	straight	M87,255c0,-37.66667 0,-75.33333 0,-113c0,-8.21185 -3.51984,-25.24008 6,-30c23.82154,-11.91077 66.58124,14.10251 45,40c-11.0003,13.20035 -37.65163,10 -53,10	1	0	0	0	1531346511800	1531346512440	stroke
run0_bonusmeter_debug	0475-035859ea-968b-4bef-9d0c-ff12e6e1d940	1531346513406	1	straight	M150,86c0,47.66667 0,95.33333 0,143c0,12 0,24 0,36c0,1.57991 0.70575,3 -1,3	2	0	0	0	1531346513034	1531346513381	stroke
run0_bonusmeter_debug	0475-035859ea-968b-4bef-9d0c-ff12e6e1d940	1531346514154	1	straight	M91,192c19,0 38,0 57,0	3	0	0	0	1531346513820	1531346514124	stroke
run0_bonusmeter_debug	0475-035859ea-968b-4bef-9d0c-ff12e6e1d940	1531346514817	1	straight	M75,210c23,0 46,0 69,0	4	0	0	0	1531346514452	1531346514786	stroke
run0_bonusmeter_debug	0475-035859ea-968b-4bef-9d0c-ff12e6e1d940	1531346529275	2	sling	M38,97c27.62817,0 54.43097,-6 82,-6	1	0	0	0	1531346528959	1531346529253	stroke
run0_bonusmeter_debug	0475-035859ea-968b-4bef-9d0c-ff12e6e1d940	1531346529836	2	sling	M61,99c0,6.66667 0,13.33333 0,20	2	0	0	0	1531346529577	1531346529816	stroke
run0_bonusmeter_debug	0475-035859ea-968b-4bef-9d0c-ff12e6e1d940	1531346530616	2	sling	M70,72c0,12.13248 4.58156,38.83687 -1,50	3	0	0	0	1531346530252	1531346530596	stroke
run0_bonusmeter_debug	0475-035859ea-968b-4bef-9d0c-ff12e6e1d940	1531346531315	2	sling	M91,96c0,31 0,62 0,93	4	0	0	0	1531346531024	1531346531294	stroke
run0_bonusmeter_debug	0475-035859ea-968b-4bef-9d0c-ff12e6e1d940	1531346538787	3	squat	M40,85c7.93243,-3.96622 15.1761,-12.35456 23,-17c25.80838,-15.32373 53.63356,-25.70719 83,-32c35.91074,-7.69516 117.8394,-20.17568 120,36c0.33327,8.66489 1.28515,20.99219 -4,29c-8.63181,13.07851 -16.66851,27.33099 -29,37c-28.56889,22.40061 -107.03761,56 -150,56	1	0	3	0.56	1531346538085	1531346538738	stroke
run0_bonusmeter_debug	0475-035859ea-968b-4bef-9d0c-ff12e6e1d940	1531346539566	3	squat	M68,61c0,12.66667 0,25.33333 0,38c0,4.33333 0,17.33333 0,13	2	0	3	0.56	1531346539268	1531346539543	stroke
