iterationName	gameid	time	trialNum	intendedName	svgData	currStrokeNum	shiftKeyUsed	score	eventType
testing	8905-44608358-d727-4fe8-ad34-2e4dce09d17f	1530854541251	1	goldenretriever	M90,163c-15.51699,0 -20.70036,-67 -11,-67	1	0	0	stroke
testing	8905-44608358-d727-4fe8-ad34-2e4dce09d17f	1530854548724	1	goldenretriever	M109,179c-5.61534,0 -32,-9.51327 -32,-17	2	0	0	stroke
testing	8905-44608358-d727-4fe8-ad34-2e4dce09d17f	1530854549766	1	goldenretriever	M171,130c-4.78553,0 -32,-11.18259 -32,-17	3	0	0	stroke
testing	8905-44608358-d727-4fe8-ad34-2e4dce09d17f	1530854565836	2	doberman	M298,297c-29.92448,0 -50.52949,13.83764 -86,11c-22.0758,-1.76606 -49.69711,-31.32116 -73,-22c-28.41742,11.36697 -47.11464,31.98089 -83,26c-19.49887,-3.24981 -46.05117,-15.06822 -58,-31c-4.34612,-5.79483 -22.03996,-57.40003 -10,-66c46.15393,-32.96709 151.87113,-33.13825 204,-35c53.84157,-1.92291 108.09637,-11.50448 161,-21c40.16254,-7.20866 86.68345,-22 128,-22c0.66667,0 1.5286,0.4714 2,0c4.67856,-4.67856 -7.79734,-10.9122 -13,-15c-10.48424,-8.23762 -20.75118,-16.84166 -32,-24c-7.16974,-4.56256 -14.78145,-8.83722 -23,-11c-108.43313,-28.53503 -231.96903,-34.88509 -344,-25c-29.03734,2.56212 -61.54371,7.01589 -89,17c-11.39028,4.14192 -23.17402,6.31057 -35,8c-1.9799,0.28284 -6,2 -6,0c0,-12.61259 75.11827,-52.7706 84,-57c82.9284,-39.48971 169.40436,-39.19984 259,-36c23.571,0.84182 57.84958,-4.71681 81,3c6.01493,2.00498 -1.30788,82.77012 -5,100c-19.10137,89.13974 -67.36928,167.90178 -120,241c-3.4093,4.73514 -44.99392,70.00203 -54,67c-30.03146,-10.01049 -46.36194,-80.74503 -51,-100c-16.70956,-69.36998 -18.62448,-140.16088 -20,-211c-0.42605,-21.9417 3.41413,-64.8788 -8,-82c-2.50644,-3.75966 -2.70142,-35 -8,-35	1	0	1	stroke
testing	8905-44608358-d727-4fe8-ad34-2e4dce09d17f	1530854578570	3	weimaraner	M220,195c-2.90852,0 -16,-9.83251 -16,-11	1	0	1	stroke
testing	8905-44608358-d727-4fe8-ad34-2e4dce09d17f	1530854657103	5	basset	M187,184c-13.55544,0 -41,-32.25235 -41,-48	1	0	2	stroke
testing	8905-44608358-d727-4fe8-ad34-2e4dce09d17f	1530854666963	6	pug	M199,259c-13.78212,0 -94.97675,-89.83169 -13,-94c12.35784,-0.62836 25.16473,-0.61076 37,3c8.48939,2.58998 15.34468,9.12766 22,15c8.93057,7.87992 19.76356,26.26789 23,38c11.85775,42.98436 -112.58609,64.96579 -128,29c-4.64745,-10.84404 23.55559,-9.3492 26,-9c15.48453,2.21208 65.6765,35.77536 49,57c-23.06845,29.35985 -87.47852,4.95624 -109,-18c-12.26736,-13.08518 -13.39855,-38.65036 8,-44c14.78878,-3.6972 48.59379,18.24994 40,32c-12.84603,20.55364 -66.08699,16.971 -84,11c-21.6252,-7.2084 -56.1857,-31.57994 -62,-56c-6.68832,-28.09092 54.48634,-51.91258 69,-12c0.93936,2.58325 3.36376,5.61343 2,8c-11.33203,19.83105 -94.54431,4.16637 -73,-42c7.63502,-16.36075 50.94823,-32.2071 57,-8c2.50142,10.00568 -34.83086,-7.13532 -15,-23c1.34593,-1.07674 13.47347,-8.83247 14,-9c28.19775,-8.97201 50.43265,5.8653 63,31c13.05842,26.11685 -25.94701,14.23675 -9,10c14.21264,-3.55316 20.87,31.96 22,41c0.10678,0.85424 0.65677,3.52664 -1,4c-26.13541,7.46726 -31.33534,-37.503 -21,-22c0.93201,1.39802 3,4.42887 3,6	1	0	3	stroke
testing	8905-44608358-d727-4fe8-ad34-2e4dce09d17f	1530854672618	6	pug	M285,268c-5.66667,0 -11.33333,0 -17,0	2	0	3	stroke
testing	8905-44608358-d727-4fe8-ad34-2e4dce09d17f	1530854673238	6	pug	M258,287c-1,0 -2,0 -3,0	3	0	3	stroke
testing	8905-44608358-d727-4fe8-ad34-2e4dce09d17f	1530854700518	7	bullmastiff	M46,156c-5.92396,0 -0.94757,-23.94757 -5,-28c-1.42564,-1.42564 -7.14702,0.92649 -9,0c-13.49451,-6.74725 8.49479,-23.7474 13,-26c31.638,-15.819 42.87697,13.96924 63,19c15.71232,3.92808 36.0385,3.52014 52,2c19.98092,-1.90294 46.7736,-16.6132 66,-7c15.64444,7.82222 -53.45019,16.78688 -46,41c4.55459,14.80242 51.31704,58.68296 39,71c-19.99643,19.99643 -42.83597,-66.97657 -71,-71c-38.73915,-5.53416 -31.31425,113.73715 -90,102c-10.8165,-2.1633 -10.01796,-34.12572 -11,-41c-3.75852,-26.30961 -15.2159,-86.56819 -3,-111	1	0	3	stroke
