iterationName	gameid	time	trialNum	intendedName	svgData	currStrokeNum	shiftKeyUsed	score	bonus_score	eventType
pilot2_bonusmeter	1602-f09f5dc8-0f6a-46ab-9e09-ab12c700e9b5	1531161449330	1	goldenretriever	M68,161c0,-8.67469 -3.21503,-24.54996 2,-32c6.79135,-9.70192 70.88905,-20.14793 77,-12c3.64028,4.8537 2.0199,24.14415 2,25c-0.1939,8.33774 2.45112,17.40755 -1,25c-10.22018,22.48439 -23.5202,43.75485 -39,63c-17.6596,21.95518 -47.33239,37.30335 -73,47c-20.80148,7.85834 -67.39124,25.92806 -94,14c-32.07054,-14.37645 -2.46436,-69.79197 6,-84c28.97025,-48.62863 66.43012,-80.66129 118,-100	1	0	0	0	stroke
pilot2_bonusmeter	1602-f09f5dc8-0f6a-46ab-9e09-ab12c700e9b5	1531161457516	2	bullmastiff	M123,174c0,-36.69217 -2.42614,-63.04517 27,-91c9.3543,-8.88659 76,-56.03279 76,-20	1	0	1	2	stroke
pilot2_bonusmeter	1602-f09f5dc8-0f6a-46ab-9e09-ab12c700e9b5	1531161464154	3	bloodhound	M110,289c-9.94238,-24.85596 -15.47182,-87.58454 -7,-113c6.48539,-19.45618 52.00036,-14.53804 62,-3c12.88464,14.86689 -2.36397,33.66899 -16,40c-26.66791,12.38153 -51.08029,6.30475 -72,-12c-3.19869,-2.79885 -9,-8.15616 -9,-13	1	0	2	5	stroke
pilot2_bonusmeter	1602-f09f5dc8-0f6a-46ab-9e09-ab12c700e9b5	1531161471903	4	pug	M180,207c-13.60379,0 -25.97898,-29.546 -29,-36c-3.11318,-6.65089 -18.53491,-112.46509 -11,-120c8.56347,-8.56347 59.77446,-4.22554 70,6	1	0	2	5	stroke
pilot2_bonusmeter	1602-f09f5dc8-0f6a-46ab-9e09-ab12c700e9b5	1531161477917	5	weimaraner	M185,236c-44.04913,0 -59.13443,-102.07112 -30,-120c34.4145,-21.17816 83.0404,8.9596 65,27	1	0	2	5	stroke
pilot2_bonusmeter	1602-f09f5dc8-0f6a-46ab-9e09-ab12c700e9b5	1531161483891	6	doberman	M87,260c-4.31979,-14.39929 -3,-29.9667 -3,-45c0,-66.58547 -6.74415,-118.48426 81,-103c11.39994,2.01175 35.38397,20.92489 30,36c-6.67705,18.69575 -50.33229,21.66686 -65,19c-9.52797,-1.73236 -16.5904,-11.5904 -23,-18	1	0	3	7	stroke
pilot2_bonusmeter	1602-f09f5dc8-0f6a-46ab-9e09-ab12c700e9b5	1531161490140	7	basset	M129,140c-24.57966,0 -37,7.63046 -37,31c0,3.49494 -0.61898,7.00687 2,10c14.84589,16.96673 74.55781,-8.55781 88,-22	1	0	4	10	stroke
pilot2_bonusmeter	1602-f09f5dc8-0f6a-46ab-9e09-ab12c700e9b5	1531161496218	8	chihuahua	M147,233c-16.69499,0 -16.76964,-42.39278 -17,-47c-1.92767,-38.55338 -14.85857,-78 33,-78	1	0	5	13	stroke
pilot2_bonusmeter	1602-f09f5dc8-0f6a-46ab-9e09-ab12c700e9b5	1531161503237	9	pug	M135,203c-6.30169,-18.90506 -22.5601,-92.2147 4,-102c7.37325,-2.71646 34.74158,-4.9864 35,-5c29.88482,-1.57289 44.54014,38.38443 3,43c-11.91178,1.32353 -19.85794,-1.85794 -28,-10	1	0	5	13	stroke
pilot2_bonusmeter	1602-f09f5dc8-0f6a-46ab-9e09-ab12c700e9b5	1531161509147	10	bullmastiff	M185,172c-25.25911,-3.15739 -49.84984,-57.89696 -23,-73c42.0929,-23.67726 81.24015,37 12,37	1	0	6	15	stroke
pilot2_bonusmeter	1602-f09f5dc8-0f6a-46ab-9e09-ab12c700e9b5	1531161514871	11	weimaraner	M127,152c-4.86322,-7.29483 -10.01274,-14.83482 -13,-23c-4.61305,-12.60899 -5.83811,-80.08095 -2,-82c11.35554,-5.67777 49.70344,34 6,34c-7.73767,0 -11.97331,-1.65777 -19,-4	1	0	7	18	stroke
