iterationName	gameid	time	trialNum	intendedName	svgData	currStrokeNum	shiftKeyUsed	score	bonus_score	startStrokeTime	endStrokeTime	eventType
86,1 1,1	1	0	0	0	1531175339305	1531175339817	stroke
pilot2_bonusmeter	6577-d14f6baf-1e35-4f2c-827d-45d405e1fd6b	1531175340567	1	pug	M186,70c0,46.52376 8,91.75608 8,138	2	0	0	0	1531175340256	1531175340562	stroke
pilot2_bonusmeter	6577-d14f6baf-1e35-4f2c-827d-45d405e1fd6b	1531175362112	1	pug	M254,102c0,39.66667 0,79.33333 0,119	3	0	0	0	1531175361780	1531175362101	stroke
pilot2_bonusmeter	6577-d14f6baf-1e35-4f2c-827d-45d405e1fd6b	1531175370686	2	chihuahua	M87,101c4.02911,24.17466 59,85.31327 59,96	1	0	1	0	4	1531175370370	stroke
pilot2_bonusmeter	6577-d14f6baf-1e35-4f2c-827d-45d405e1fd6b	1531175371338	2	chihuahua	M151,77c0,43.92495 25,85.53551 25,129	2	0	1	0	4	1531175370979	stroke
pilot2_bonusmeter	6577-d14f6baf-1e35-4f2c-827d-45d405e1fd6b	1531175372421	2	chihuahua	M214,43c0,30.00753 1,60.04542 1,90	3	0	1	0	4	1531175372063	stroke
pilot2_bonusmeter	6577-d14f6baf-1e35-4f2c-827d-45d405e1fd6b	1531175456483	3	bloodhound	M179,34c0,47.4321 15,95.58343 15,142	1	0	1	0	4	1531175456011	stroke
pilot2_bonusmeter	6577-d14f6baf-1e35-4f2c-827d-45d405e1fd6b	1531175457389	3	bloodhound	M211,81c0,36.33333 0,72.66667 0,109	2	0	1	0	4	1531175456941	stroke
pilot2_bonusmeter	6577-d14f6baf-1e35-4f2c-827d-45d405e1fd6b	1531175479674	4	weimaraner	M202,129c0,41.61107 3,83.75098 3,125	1	0	2	1	3	1531175479360	stroke
pilot2_bonusmeter	6577-d14f6baf-1e35-4f2c-827d-45d405e1fd6b	1531175499707	4	weimaraner	M41,108c7.44472,22.33415 25.55986,39.11973 36,60	2	0	2	1	3	1531175499431	stroke
pilot2_bonusmeter	6577-d14f6baf-1e35-4f2c-827d-45d405e1fd6b	1531175513406	5	bullmastiff	M156,77c0,36.79146 20.65685,78.24969 34,112c2.16652,5.48003 12,25.14233 12,35	1	0	3	1	9	1531175513049	stroke
pilot2_bonusmeter	6577-d14f6baf-1e35-4f2c-827d-45d405e1fd6b	1531175514106	5	bullmastiff	M202,91c0,33.64356 13.98113,68.8962 20,102c1.08812,5.98465 3,11.91724 3,18c0,1.68921 1.04568,5 -1,5	2	0	3	1	9	1531175513742	stroke
