iterationName	gameid	time	trialNum	intendedName	svgData	currStrokeNum	shiftKeyUsed	score	eventType
testing	6558-cf03d020-c0ad-4b84-9d43-abc14930bbf6	1530401874558	1	cuckoo	M56,78c0,-8.26406 53.77362,-9.14149 62,-4c8.71508,5.44692 13.06157,20.23436 19,28c23.25679,30.41272 87.58445,110 129,110	1	0	0	stroke
testing	6558-cf03d020-c0ad-4b84-9d43-abc14930bbf6	1530401875163	1	cuckoo	M203,198c6.70988,0.95855 85,31.79198 85,38	2	0	0	stroke
testing	6558-cf03d020-c0ad-4b84-9d43-abc14930bbf6	1530401875703	1	cuckoo	M205,217c36.14821,0 78.12308,27 103,27	3	0	0	stroke
testing	6558-cf03d020-c0ad-4b84-9d43-abc14930bbf6	1530401876750	1	cuckoo	M93,208c-5.62746,5.62746 -14,25.28633 -14,33	4	0	0	stroke
testing	6558-cf03d020-c0ad-4b84-9d43-abc14930bbf6	1530401877176	1	cuckoo	M125,218c-5.2814,10.56281 -18,22.31656 -18,35	5	0	0	stroke
testing	6558-cf03d020-c0ad-4b84-9d43-abc14930bbf6	1530401878499	1	cuckoo	M74,123c0,-8.47736 19,-15.64683 19,-24	6	0	0	stroke
testing	6558-cf03d020-c0ad-4b84-9d43-abc14930bbf6	1530401878891	1	cuckoo	M80,157c5.20885,-5.20885 24.05415,-36 26,-36	7	0	0	stroke
testing	6558-cf03d020-c0ad-4b84-9d43-abc14930bbf6	1530401879267	1	cuckoo	M89,181c4.3209,-8.64181 24,-27.19096 24,-35	8	0	0	stroke
testing	6558-cf03d020-c0ad-4b84-9d43-abc14930bbf6	1530401880870	1	cuckoo	M59,89c-6.35819,6.35819 -11.6846,15.77472 -19,21c-1.58161,1.12972 -6.84391,2.38536 -5,3c8.24177,2.74726 17.80921,-3 26,-3	9	0	0	stroke
testing	6558-cf03d020-c0ad-4b84-9d43-abc14930bbf6	1530401883660	1	cuckoo	M162,125c22.07014,5.51754 40.92778,17.07987 60,29c5.09584,3.1849 10.3491,6.19471 15,10c0.37879,0.30992 8.39519,6.93413 8,7c-23.70303,3.9505 -48.98783,2 -73,2	10	0	0	stroke
testing	6558-cf03d020-c0ad-4b84-9d43-abc14930bbf6	1530401884518	1	cuckoo	M211,219c27.61223,0 56.26503,6.88983 82,17c0.70474,0.27686 29,11.0784 29,14	11	0	0	stroke
testing	6558-cf03d020-c0ad-4b84-9d43-abc14930bbf6	1530401885545	1	cuckoo	M193,213c38.44012,0 81.74481,24.10644 116,39c6.05353,2.63197 18.07841,11 25,11	12	0	0	stroke
testing	6558-cf03d020-c0ad-4b84-9d43-abc14930bbf6	1530401886611	1	cuckoo	M209,213c0.99141,0 122.79002,44.79002 126,48	13	0	1	stroke
testing	6558-cf03d020-c0ad-4b84-9d43-abc14930bbf6	1530401894105	2	bluejay	M50,72c0,-16.24527 31.61135,-20.61135 40,-29c0.4714,-0.4714 1.5286,-0.4714 2,0c3.92407,3.92407 -3.96731,24.01635 2,27c13.45882,6.72941 22.04699,-3.83389 39,11c20.76484,18.16923 24.78763,54.19176 53,73c7.23391,4.82261 18.21219,3.90914 25,9c8.80578,6.60433 5.78888,16.94722 18,20c0.64676,0.16169 1.34628,-0.13074 2,0c2.9,0.58 33.79899,10.20101 33,11c-8.32754,8.32754 -70.28569,-1.14285 -80,-6c-0.85858,-0.42929 -2.68475,0.81085 -3,1c-7.47896,4.48738 -16.28551,7 -25,7	1	0	1	stroke
testing	6558-cf03d020-c0ad-4b84-9d43-abc14930bbf6	1530401895106	2	bluejay	M133,211c0,8.40396 -2.23744,16.61185 -3,25c-0.12071,1.32786 0,5.33333 0,4	2	0	1	stroke
testing	6558-cf03d020-c0ad-4b84-9d43-abc14930bbf6	1530401895664	2	bluejay	M102,207c0,4.86423 -7,8.26731 -7,13	3	0	1	stroke
testing	6558-cf03d020-c0ad-4b84-9d43-abc14930bbf6	1530401903627	3	robin	M52,105c0,-7.63192 -2.45775,-19.08449 1,-26c8.52436,-17.04873 33.6917,-15.76976 46,-5c7.74314,6.77525 12.71341,16.78505 21,23c9.59535,7.19651 20.45542,13.45542 29,22c9.90626,9.90626 15.21563,25.21563 25,35c3.87283,3.87283 42.53102,16.23371 50,19c9.47803,3.51038 44.48093,18.51907 55,8c1.15524,-1.15524 -4.24381,-0.12603 -5,0c-5.04294,0.84049 -9.93557,2.15593 -15,3c-12.50363,2.08394 -21.20488,5.52293 -32,12c-41.44315,24.86589 -78,27.16841 -78,81	1	0	2	stroke
testing	6558-cf03d020-c0ad-4b84-9d43-abc14930bbf6	1530401905207	3	robin	M57,117c0,12.74524 -2.09488,27.43071 0,40c6.5515,39.30899 60.23139,51 92,51	2	0	2	stroke
testing	6558-cf03d020-c0ad-4b84-9d43-abc14930bbf6	1530401906127	3	robin	M65,113c13.02406,0 52,1.14813 52,-20	3	0	2	stroke
testing	6558-cf03d020-c0ad-4b84-9d43-abc14930bbf6	1530401906990	3	robin	M57,87c9.4956,0 18.40755,-4 28,-4	4	0	2	stroke
testing	6558-cf03d020-c0ad-4b84-9d43-abc14930bbf6	1530401907401	3	robin	M68,101c10.94545,0 19.47181,-13 29,-13	5	0	2	stroke
testing	6558-cf03d020-c0ad-4b84-9d43-abc14930bbf6	1530401907810	3	robin	M69,114c7.41009,0 47.18682,-14 29,-14	6	0	2	stroke
testing	6558-cf03d020-c0ad-4b84-9d43-abc14930bbf6	1530401908541	3	robin	M102,87c2.68742,0 -5.46346,0.11221 -8,1c-1.14943,0.4023 -17.01149,8.62069 -20,10c-2.30494,1.06382 -9.53859,3 -7,3c5.57849,0 11.43829,-4.26298 16,-7c2.55655,-1.53393 10.98142,-4 8,-4c-1.33333,0 -3.05719,0.94281 -4,0c-0.4714,-0.4714 0,-1.33333 0,-2	7	0	2	stroke
testing	6558-cf03d020-c0ad-4b84-9d43-abc14930bbf6	1530401909722	3	robin	M130,112c-18.02135,0 -13.58013,33.94658 -3,41c18.29505,12.1967 45.16857,18.96935 67,15c3.59722,-0.65404 6.81972,-6 10,-6	8	0	2	stroke
testing	6558-cf03d020-c0ad-4b84-9d43-abc14930bbf6	1530401916394	4	nightingale	M55,111c-24.87913,0 -18.28077,61.71923 -6,74c18.50741,18.50741 92.71533,36.82117 116,31c6.31147,-1.57787 11.77931,-6.73793 18,-9c7.92358,-2.8813 45,-21.11711 45,-31	1	0	2	stroke
testing	6558-cf03d020-c0ad-4b84-9d43-abc14930bbf6	1530401919379	4	nightingale	M46,109c0,-11.97252 6.63898,-20.24388 17,-26c33.21655,-18.45364 64.31468,32.25995 87,51c5.81884,4.80687 21.29588,17.92135 29,22c9.65922,5.1137 27.09206,8.02511 38,11c19.6025,5.34614 32.98595,15.79157 50,26c1.04851,0.62911 7,4 7,4c0,0 -4.11438,-1.05719 -6,-2c-11.5121,-5.75605 -33.19008,-25 -46,-25	2	0	2	stroke
testing	6558-cf03d020-c0ad-4b84-9d43-abc14930bbf6	1530401920118	4	nightingale	M172,206c0,10.86388 5,21.69353 5,33	3	0	2	stroke
testing	6558-cf03d020-c0ad-4b84-9d43-abc14930bbf6	1530401920538	4	nightingale	M131,225c0,5.33333 0,10.66667 0,16	4	0	2	stroke
testing	6558-cf03d020-c0ad-4b84-9d43-abc14930bbf6	1530401922429	4	nightingale	M46,139c19.11899,0 37.21143,-0.36915 53,-13c6.75787,-5.40629 12.20376,-9.80564 17,-17c1.63338,-2.45008 4,-7.43276 4,-7	5	0	2	stroke
testing	6558-cf03d020-c0ad-4b84-9d43-abc14930bbf6	1530401923955	4	nightingale	M54,108c10.18028,-5.09014 32.75683,-10.24317 42,-1	6	0	3	stroke
