iterationName	gameid	time	trialNum	intendedName	svgData	currStrokeNum	shiftKeyUsed	score	eventType
testing	6355-d8c68585-818c-4331-b07f-1c66ea238509	1530472818244	1	straight	M159,207c-15.09197,0 -27.93709,-26.60845 -33,-38c-13.23379,-29.77604 -22.7071,-62.7695 13,-79c11.57678,-5.26217 28.52825,-7.74152 41,-4c11.54237,3.46271 22.10512,14.51954 29,24c4.50156,6.18965 13.12762,22.74476 9,31c-11.32101,22.64202 -47.61337,59 -74,59	1	0	0	stroke
testing	6355-d8c68585-818c-4331-b07f-1c66ea238509	1530472819458	1	straight	M72,45c0,51.34424 -7,102.43043 -7,154	2	0	0	stroke
testing	6355-d8c68585-818c-4331-b07f-1c66ea238509	1530472820548	1	straight	M146,48c0,43.66667 0,87.33333 0,131	3	0	0	stroke
testing	6355-d8c68585-818c-4331-b07f-1c66ea238509	1530472826685	2	inlay	M197,161c-30.35581,0 -77.77583,9.80175 -102,-12c-6.03919,-5.43527 -5.85895,-12.58318 -7,-20c-4.74207,-30.82348 18.28559,-47.77135 42,-62c10.05565,-6.03339 25.21662,0 35,0	1	0	1	stroke
testing	6355-d8c68585-818c-4331-b07f-1c66ea238509	1530472827440	2	inlay	M165,67c0,43.66519 -3,87.25921 -3,131	2	0	1	stroke
testing	6355-d8c68585-818c-4331-b07f-1c66ea238509	1530472828469	2	inlay	M61,44c0,53.05561 -5,105.9043 -5,159	3	0	1	stroke
testing	6355-d8c68585-818c-4331-b07f-1c66ea238509	1530472829849	2	inlay	M165,178c-23.82975,0 -47.17141,2.78838 -71,4c-27.09692,1.37781 -76.2179,1 -96,1	4	0	1	stroke
testing	6355-d8c68585-818c-4331-b07f-1c66ea238509	1530472830606	2	inlay	M18,187c0,36.34952 -1,72.65065 -1,109	5	0	1	stroke
testing	6355-d8c68585-818c-4331-b07f-1c66ea238509	1530472831857	2	inlay	M107,186c0,29.37113 -4,58.47479 -4,88	6	0	1	stroke
testing	6355-d8c68585-818c-4331-b07f-1c66ea238509	1530472832718	2	inlay	M167,198c0,12.21545 48.46645,51 62,51	7	0	1	stroke
