iterationName	gameid	time	trialNum	intendedName	svgData	currStrokeNum	shiftKeyUsed	score	bonus_score	startStrokeTime	endStrokeTime	eventType
run1_chairsOnly	2988-b662bd94-fd46-490e-8d07-ae84d57ab652	1531945982434	1	waiting_07	M95,205c0,-24.11089 -14.74453,-68.18613 22,-59c29.5162,7.37905 -0.88403,71 -33,71c-19.80513,0 -12.9502,-43.34993 7,-50	1	0	0	0	1531946004741	1531946005339	stroke
run1_chairsOnly	2988-b662bd94-fd46-490e-8d07-ae84d57ab652	1531945996803	2	waiting_06	M75,59c0,17.31607 12.84066,34.12511 18,50c10.57725,32.5454 16.52283,68.97348 21,103c0.48639,3.69657 3.907,53.093 2,55c-0.9304,0.9304 -5.91068,-4.82136 -6,-5c-7.04066,-14.08133 -32.42608,-19.27824 -38,-36c-15.38742,-46.16227 -23.19606,-87.60789 -1,-132c2.10163,-4.20326 4.55371,-13.93223 8,-16c17.17686,-10.30611 39.51062,-13.2158 59,-16c12.62583,-1.80369 33.29231,-5.76538 46,-1c14.89784,5.58669 14.10279,41.61676 16,53c2.5431,15.25859 5.0276,34.0552 12,48c0.90607,1.81215 2.17919,2.77724 -1,4c-34.47657,13.26022 -73.57049,15.17852 -110,17c-9.66034,0.48302 -19.32759,1 -29,1c-1.66667,0 -5,1.66667 -5,0c0,-1.81303 4.07674,-6.15348 5,-8	1	0	3	0.8	1531946017322	1531946019711	stroke
run1_chairsOnly	2988-b662bd94-fd46-490e-8d07-ae84d57ab652	1531945997806	2	waiting_06	M157,140c0,26.9872 19.08844,72.00795 28,98c3.77754,11.01781 8.38738,22.23722 13,33c1.5369,3.58611 7.90157,11 4,11	2	0	3	0.8	1531946020204	1531946020795	stroke
run1_chairsOnly	2988-b662bd94-fd46-490e-8d07-ae84d57ab652	1531946013717	3	waiting_04	M105,80c0,-8.77603 -4.1864,-28.6272 0,-37c4.52662,-9.05325 38.23759,-7.73991 45,-8c33.41129,-1.28505 62,-11.15474 62,28c0,6.10716 1.53123,15.87507 0,22c-0.37794,1.51176 -5.80755,2.93375 -7,3c-27.99523,1.55529 -58.00802,1.86613 -86,0c-3.01618,-0.20108 -25,-2.43029 -25,-6	1	0	3	0.8	1531946035443	1531946036679	stroke
run1_chairsOnly	2988-b662bd94-fd46-490e-8d07-ae84d57ab652	1531946014667	3	waiting_04	M94,82c0,9.26927 15.5536,24 25,24	2	0	3	0.8	1531946037024	1531946037657	stroke
run1_chairsOnly	2988-b662bd94-fd46-490e-8d07-ae84d57ab652	1531946015570	3	waiting_04	M205,82c3.68546,0 17.37389,2 16,2	3	0	3	0.8	1531946038225	1531946038560	stroke
run1_chairsOnly	2988-b662bd94-fd46-490e-8d07-ae84d57ab652	1531946017571	3	waiting_04	M125,112c13.76115,13.76115 24.62052,36.17184 30,55c0.25839,0.90437 1.31814,4.66363 3,5c17.41288,3.48258 46.83748,-15.50249 61,-24c7.85404,-4.71242 27.85996,-16.29982 30,-27c2.58395,-12.91976 -27.9292,-15 -35,-15c-33.31164,0 -67.21801,3 -100,3	4	0	3	0.8	1531946039610	1531946040557	stroke
run1_chairsOnly	2988-b662bd94-fd46-490e-8d07-ae84d57ab652	1531946027952	4	waiting_03	M80,119c0,-22.30377 -2.21106,-45.88939 0,-68c1.34688,-13.46878 2.21638,-27.33749 7,-40c5.80443,-15.36466 51.013,-4.149 60,2c19.91087,13.62322 49.43992,100.56008 32,118	1	0	6	1.28	1531946050151	1531946050928	stroke
run1_chairsOnly	2988-b662bd94-fd46-490e-8d07-ae84d57ab652	1531946029793	4	waiting_03	M87,115c27,0 54,0 81,0c0.45802,0 19,0 19,0c0,0 -4,-2.32196 -4,-4c0,-1.91111 1.53333,-1 3,-1	2	0	6	1.28	1531946052149	1531946052767	stroke
run1_chairsOnly	2988-b662bd94-fd46-490e-8d07-ae84d57ab652	1531946038798	5	waiting_11	M91,120c0,-69.78292 -22.96786,-89 66,-89c13.62798,0 38.12142,-5.70104 48,7c6.53509,8.40226 6.2276,24.80868 8,35c1.57516,9.0572 5.82866,26.57114 3,36c-8.04632,26.82106 -106.80211,15 -129,15	1	0	9	2	1531946060696	1531946061777	stroke
run1_chairsOnly	2988-b662bd94-fd46-490e-8d07-ae84d57ab652	1531946039892	5	waiting_11	M88,59c39.19507,0 79.50271,-3 118,-3	2	0	9	2	1531946062296	1531946062880	stroke
run1_chairsOnly	2988-b662bd94-fd46-490e-8d07-ae84d57ab652	1531946055448	6	waiting_09	M161,115c0,17.66667 0,35.33333 0,53	1	0	12	2.7199999999999998	1531946078211	1531946078436	stroke
run1_chairsOnly	2988-b662bd94-fd46-490e-8d07-ae84d57ab652	1531946101255	8	waiting_02	M107,179c0,-29.26051 -19.26482,-70.4918 -33,-96c-1.6569,-3.07709 -13.95395,-29.04605 -11,-32c12.74707,-12.74707 39.32469,-18.51049 56,-23c23.02896,-6.20011 57.84869,-18.05044 82,-10c26.38436,8.79479 42.41567,123.06635 44,150c0.12185,2.07147 1.31084,12.03374 0,14c-12.39058,18.58587 -105.73191,32.27128 -129,25c-7.57451,-2.36703 -12.67087,-10.34175 -16,-17	1	0	12	2.7199999999999998	1531946122835	1531946124220	stroke
run1_chairsOnly	2988-b662bd94-fd46-490e-8d07-ae84d57ab652	1531946102250	8	waiting_02	M88,87c45.63136,0 89.42971,-12 135,-12	2	0	12	2.7199999999999998	1531946124870	1531946125232	stroke
run1_chairsOnly	2988-b662bd94-fd46-490e-8d07-ae84d57ab652	1531946103382	8	waiting_02	M100,161c40.26861,0 80.30549,4.76986 118,-6	3	0	12	2.7199999999999998	1531946125926	1531946126366	stroke
