iterationName	gameid	time	trialNum	intendedName	svgData	currStrokeNum	shiftKeyUsed	score	bonus_score	startStrokeTime	endStrokeTime	eventType
run1_chairsOnly	2020-5294344c-a77b-4b1a-b538-8b27bb91fca8	1531947911735	1	armchair_08	M63,75c74.16976,0 28.46243,68.13439 17,71c-8.55022,2.13755 -18.43996,-11.43996 -23,-16c-24.48753,-24.48753 -40,-34.57895 -40,-70	1	0	0	0	1531947933675	1531947934573	stroke
run1_chairsOnly	2020-5294344c-a77b-4b1a-b538-8b27bb91fca8	1531947914261	1	armchair_08	M20,61c0,-5.97509 -3.30457,-23.04315 0,-28c7.53939,-11.30909 33.75049,-15.15098 45,-16c45.21415,-3.41239 122.36663,-1.7905 164,22c10.16115,5.80637 5,30.48951 5,40c0,10.08433 2.51226,24.95095 0,35c-0.81418,3.25674 -6.99708,2 -9,2c-21.81984,0 -80.50076,-33.99898 -64,-56c5.34381,-7.12508 27.45293,-9.25176 34,-10c43.58262,-4.98087 74.91753,1.6368 92,45c4.31444,10.95204 17.84058,37.73912 9,51c-25.36473,38.04709 -88.14292,35.99995 -121,13c-5.35153,-3.74607 -41.34337,-44 -48,-44	2	0	0	0	1531947935434	1531947937124	stroke
run1_chairsOnly	2020-5294344c-a77b-4b1a-b538-8b27bb91fca8	1531947916018	1	armchair_08	M95,137c0,28.66667 0,57.33333 0,86c0,3.17311 -4.80626,32.83875 1,34c26.42937,5.28587 24.57935,-50.82126 26,-70c0.49892,-6.73547 1.09819,-14.80361 -2,-21c-0.86923,-1.73845 -4.73845,-4.13077 -3,-5c8.89911,-4.44955 52.27441,16.07389 57,25c5.33474,10.07673 7.32909,21.72135 9,33c0.99622,6.72449 -0.01431,24.98569 5,30c2.53859,2.53859 7.36197,-1.5649 10,-4c3.76971,-3.47973 35.84539,-68 19,-68	3	0	0	0	1531947937455	1531947938905	stroke
run1_chairsOnly	2020-5294344c-a77b-4b1a-b538-8b27bb91fca8	1531947930343	2	armchair_02	M90,136c0,-17.68311 -0.37774,-45.44434 -7,-62c-0.33542,-0.83854 -2.02984,-3.97016 -1,-5c9.0155,-9.0155 37.93107,-8.14854 49,-9c16.21485,-1.2473 32.73,-2 49,-2c5.07499,0 20.50595,-2.99604 25,0c6.85973,4.57315 6.72178,20.28934 8,27c1.93115,10.13854 4.74462,21.57528 4,32c-1.97775,27.68853 -59.16732,20 -77,20c-16,0 -32,0 -48,0c-0.90314,0 -7,1.05309 -7,-1	1	0	3	0.32	1531947952173	1531947953214	stroke
run1_chairsOnly	2020-5294344c-a77b-4b1a-b538-8b27bb91fca8	1531947931670	2	armchair_02	M57,111c10.29482,0 57.78584,-4.12479 63,5c10.85143,18.99 -11.72438,99 -39,99c-24.34336,0 -74.47012,-106.52988 -56,-125c7.25435,-7.25435 29.22309,-3 38,-3	2	0	3	0.32	1531947953741	1531947954559	stroke
run1_chairsOnly	2020-5294344c-a77b-4b1a-b538-8b27bb91fca8	1531947933240	2	armchair_02	M179,99c5.52726,0 33.09976,-3.80048 36,2c12.82836,25.65672 5.68811,95 -34,95c-10.88659,0 -18.54385,-19.39647 -22,-27c-8.88351,-19.54373 -14.26089,-38.8117 -18,-60c-4.38587,-24.85324 2.17415,-23.20287 31,-20c7.26729,0.80748 13.92867,7.3572 20,11	3	0	3	0.32	1531947955181	1531947956125	stroke
run1_chairsOnly	2020-5294344c-a77b-4b1a-b538-8b27bb91fca8	1531947944634	3	armchair_05	M79,144c0,-15.44318 1.54548,-31.72711 -1,-47c-8.43611,-50.61666 -21.51173,-62.92324 39,-72c8.94959,-1.34244 17.96982,-2 27,-2c11.80374,0 38.48652,-5.00898 49,2c13.65448,9.10299 11,73.35172 11,88c0,3.41509 2.39139,29 -2,29	1	0	3	0.32	1531947965892	1531947967514	stroke
run1_chairsOnly	2020-5294344c-a77b-4b1a-b538-8b27bb91fca8	1531947946054	3	armchair_05	M88,122c11.21254,0 49.85297,-9.26486 46,10c-0.8279,4.13949 -6.7135,16.85675 -11,19c-7.97969,3.98985 -37.5488,-27 -49,-27	2	0	3	0.32	1531947968133	1531947968935	stroke
run1_chairsOnly	2020-5294344c-a77b-4b1a-b538-8b27bb91fca8	1531947947540	3	armchair_05	M199,117c5.6413,0 18.73398,-2.63301 24,0c13.87308,6.93654 -17.92404,52.04341 -39,40c-30.34255,-17.3386 -3.11157,-48 22,-48	3	0	3	0.32	1531947969528	1531947970423	stroke
run1_chairsOnly	2020-5294344c-a77b-4b1a-b538-8b27bb91fca8	1531947963252	4	armchair_10	M75,135c20.40561,0 54.10864,-6.94568 72,2c0.29814,0.14907 0.85093,-0.29814 1,0c4.38685,8.7737 -3.07624,19.3812 -5,29c-7.16661,35.83307 -18,75.32646 -18,112	1	0	3	0.32	1531947985498	1531947986141	stroke
run1_chairsOnly	2020-5294344c-a77b-4b1a-b538-8b27bb91fca8	1531947964557	4	armchair_10	M190,137c18,0 36,0 54,0c0.66667,0 1.83831,-0.64676 2,0c2.50433,10.01733 -17.67003,77.45327 -18,79c-3.87017,18.14141 -7.5715,36.71467 -11,55c-0.37183,1.9831 -0.17229,10.17229 -2,12	2	0	3	0.32	1531947986762	1531947987444	stroke
run1_chairsOnly	2020-5294344c-a77b-4b1a-b538-8b27bb91fca8	1531947967846	4	armchair_10	M83,135c0,-24 0,-48 0,-72c0,-0.66667 -0.59628,-1.70186 0,-2c8.52601,-4.26301 43.51622,-4.94709 44,-5c32.66601,-3.57284 64.13005,-5 97,-5c36.58533,0 52.7018,-4.1817 48,35c-2.98699,24.89155 -1.89543,44.7146 -29,48c-26.58011,3.22183 -53.43087,4.04787 -80,7c-19.44504,2.16056 -38.73996,5.56071 -58,9c-4.15304,0.74161 -30.74171,9.25829 -35,5c-1.41012,-1.41012 0,-14.64935 0,-16	3	0	3	0.32	1531947989578	1531947990728	stroke
run1_chairsOnly	2020-5294344c-a77b-4b1a-b538-8b27bb91fca8	1531947969544	4	armchair_10	M68,118c0,-22.56474 -6.70567,-66.883 0,-87c1.07497,-3.2249 6.60652,1.80038 10,2c9.98274,0.58722 20,0 30,0c35.29999,0 121.6761,-8.77463 157,3c10.32274,3.44091 14.38156,61.30922 7,65	4	0	3	0.32	1531947991408	1531947992418	stroke
