iterationName	gameid	time	trialNum	intendedName	svgData	currStrokeNum	shiftKeyUsed	score	bonus_score	startStrokeTime	endStrokeTime	eventType
run1_chairsOnly	9660-9a95e85e-548c-4dbd-ba36-e44511ca0c2f	1531951627862	1	dining_10	M167,214c-9.00018,-36.00072 -7,-70.66492 -7,-108c0,-4.19558 -7.02678,-39.51339 12,-30c14.6679,7.33395 -17.73201,37.75795 -18,38c-14.81574,13.38196 -37.26447,15 -56,15	1	0	0	0	1531951627460	1531951627846	stroke
run1_chairsOnly	9660-9a95e85e-548c-4dbd-ba36-e44511ca0c2f	1531951634426	2	dining_02	M122,139c-16.69754,0 -19.73869,-32 -6,-32c2,0 5.10557,-1.78885 6,0c7.06721,14.13441 -35.56206,17.10949 -44,15	1	0	3	0.84	1531951633994	1531951634409	stroke
run1_chairsOnly	9660-9a95e85e-548c-4dbd-ba36-e44511ca0c2f	1531951640018	3	dining_01	M245,166c-13.43142,0 -42.86307,5.61617 -47,-13c-0.40714,-1.83213 -0.84102,-13.49539 0,-14c4.62103,-2.77262 25.87452,-2.72394 21,8c-4.51083,9.92382 -17.57983,17.38656 -26,23	1	0	6	1.72	1531951639613	1531951639995	stroke
run1_chairsOnly	9660-9a95e85e-548c-4dbd-ba36-e44511ca0c2f	1531951646340	4	dining_07	M135,238c-27.74571,0 -19.30498,-88.71266 -17,-106c0.78361,-5.87704 18.6358,-12.09259 20,-8c10.10404,30.31211 -37.5952,59.93253 -62,64	1	0	6	1.72	1531951645929	1531951646322	stroke
run1_chairsOnly	9660-9a95e85e-548c-4dbd-ba36-e44511ca0c2f	1531951652216	5	dining_00	M219,206c-27.46795,0 -48.38654,-26.84039 -39,-55c1.39768,-4.19304 18.95846,-3.06231 21,0c9.36258,14.04387 -20.07069,26.32121 -29,29	1	0	6	1.72	1531951651809	1531951652212	stroke
run1_chairsOnly	9660-9a95e85e-548c-4dbd-ba36-e44511ca0c2f	1531951658389	6	dining_11	M209,185c-23.15968,0 -46.00069,-6.75364 -51,-33c-1.83224,-9.61926 -1.21396,-22.28833 0,-32c0.05847,-0.46776 0.53775,-0.90755 1,-1c47.58661,-9.51732 -7.82659,45.68144 -21,53	1	0	9	2.6	1531951658028	1531951658386	stroke
run1_chairsOnly	9660-9a95e85e-548c-4dbd-ba36-e44511ca0c2f	1531951664346	7	dining_08	M190,172c-6.85036,0 -25.35288,3.107 -31,-1c-24.50377,-17.82092 -13.75608,-77.91157 9,-58c22.23212,19.4531 -26.00697,83 -52,83	1	0	12	3.44	1531951663879	1531951664335	stroke
run1_chairsOnly	9660-9a95e85e-548c-4dbd-ba36-e44511ca0c2f	1531951670577	8	dining_03	M208,164c-12.11479,0 -27.3431,2.49707 -39,-1c-12.38473,-3.71542 -40.36369,-33.54539 -28,-49c13.1851,-16.48137 31.18257,11.73026 33,19c4.6551,18.62042 -3.64376,35.23282 -18,46	1	0	12	3.44	1531951670182	1531951670571	stroke
run1_chairsOnly	9660-9a95e85e-548c-4dbd-ba36-e44511ca0c2f	1531951676918	9	dining_09	M103,161c-38.43866,0 -39.69252,-69.70722 -30,-92c3.30597,-7.60372 32.84031,-24.346 39,-11c15.54265,33.67575 -73.61399,101.59067 -103,82	1	0	15	4.28	1531951676464	1531951676905	stroke
run1_chairsOnly	9660-9a95e85e-548c-4dbd-ba36-e44511ca0c2f	1531951684182	10	dining_06	M179,116c-25.70495,0 -36,-1.87245 -36,-30c0,-4.33333 -2.6,-9.53333 0,-13c5.63311,-7.51081 20,1.27674 20,9c0,20.06793 -26.73079,24 -42,24	1	0	18	5.08	1531951683740	1531951684174	stroke
run1_chairsOnly	9660-9a95e85e-548c-4dbd-ba36-e44511ca0c2f	1531951690632	11	dining_05	M215,84c-4.33333,0 -8.71022,0.61283 -13,0c-8.08604,-1.15515 -11.6113,-2.45072 -18,-6c-22.37432,-12.43018 20.22294,-32.44266 28,-13c4.90855,12.27137 -34.49342,18.50658 -40,13	1	0	21	5.92	1531951690089	1531951690618	stroke
run1_chairsOnly	9660-9a95e85e-548c-4dbd-ba36-e44511ca0c2f	1531951696369	12	dining_04	M164,154c-34.09066,0 -56.21742,-55.26086 -39,-61c50.06525,-16.68842 16.83009,45 -19,45	1	0	24	6.8	1531951695876	1531951696365	stroke
run1_chairsOnly	9660-9a95e85e-548c-4dbd-ba36-e44511ca0c2f	1531951704077	13	dining_11	M164,183c-5.83979,0 -12.02256,1.26637 -17,-3c-15.61947,-13.38811 -32.21219,-113.25178 16,-91c36.72587,16.9504 -17.36434,85 -59,85	1	0	27	7.64	1531951703617	1531951704066	stroke
