iterationName	gameid	time	trialNum	intendedName	svgData	currStrokeNum	shiftKeyUsed	score	bonus_score	startStrokeTime	endStrokeTime	eventType
run1_chairsOnly	8003-e098e500-0843-4f52-be30-ad417b6a5e47	1531951710927	1	waiting_00	M189,200c-26.11016,-5.22203 -35,-41.30641 -35,-64c0,-3.01846 -1.92834,-8.26792 1,-9c4.64417,-1.16104 11.67888,1.10211 8,8c-7.98209,14.96641 -26.69669,24.8989 -42,30	1	0	0	0	1531951710502	1531951710910	stroke
run1_chairsOnly	8003-e098e500-0843-4f52-be30-ad417b6a5e47	1531951717275	2	waiting_04	M185,150c-37.31816,0 -32.58897,-97.26535 -6,-74c18.0954,15.83347 -3.4175,53.2615 -20,61c-10.04097,4.68579 -21.33333,6 -32,9	1	0	3	0.84	1531951716558	1531951717216	stroke
run1_chairsOnly	8003-e098e500-0843-4f52-be30-ad417b6a5e47	1531951723181	3	waiting_02	M203,183c-25.99905,0 -55.44649,-52.10702 -44,-75c3.86776,-7.73553 16.98295,6.35568 18,9c6.2749,16.31474 -3.39433,26.39433 -14,37	1	0	6	1.68	1531951722804	1531951723167	stroke
run1_chairsOnly	8003-e098e500-0843-4f52-be30-ad417b6a5e47	1531951728831	4	waiting_06	M217,116c-20.10657,0 -18.58923,-51.79462 1,-42c14.74192,7.37096 -23.87654,43.43827 -29,46	1	0	9	2.56	1531951728451	1531951728820	stroke
run1_chairsOnly	8003-e098e500-0843-4f52-be30-ad417b6a5e47	1531951734854	5	waiting_11	M219,158c-20.66424,0 -15.99255,-64.49441 6,-48c17.10831,12.83123 -38.41947,62 -60,62	1	0	12	3.44	1531951734450	1531951734850	stroke
run1_chairsOnly	8003-e098e500-0843-4f52-be30-ad417b6a5e47	1531951741744	6	waiting_07	M210,140c-8.26696,0 -12.4726,0.79031 -20,-5c-20.4361,-15.72008 14.18938,-33.02654 19,-21c7.83186,19.57965 -33.55995,22 -45,22	1	0	15	4.28	1531951741244	1531951741733	stroke
run1_chairsOnly	8003-e098e500-0843-4f52-be30-ad417b6a5e47	1531951747826	7	waiting_01	M200,161c-6.23122,0 -32.67393,-60.94566 9,-54c31.2025,5.20042 -17.1466,41 -34,41	1	0	18	5.12	1531951747362	1531951747819	stroke
run1_chairsOnly	8003-e098e500-0843-4f52-be30-ad417b6a5e47	1531951754516	8	waiting_05	M171,189c-15.8929,0 -38.59039,-116.95744 10,-104c38.62797,10.30079 -15.08961,60.45519 -46,45	1	0	21	5.96	1531951753956	1531951754510	stroke
run1_chairsOnly	8003-e098e500-0843-4f52-be30-ad417b6a5e47	1531951761235	9	waiting_03	M229,132c-12.67543,0 -28.29697,-15.13273 -14,-28c9.83284,-8.84955 41.9208,-7.67324 44,10c3.00781,25.56635 -58.47255,46 -78,46	1	0	24	6.8	1531951760780	1531951761220	stroke
run1_chairsOnly	8003-e098e500-0843-4f52-be30-ad417b6a5e47	1531951767576	10	waiting_08	M176,167c-11.26522,0 -6,-29.13539 -6,-38c0,-1.66667 -1.49071,-4.25464 0,-5c2.68328,-1.34164 6,0 9,0c0.86694,0 5.69098,-0.74536 7,1c15.85112,21.13483 -41.75664,27 -52,27	1	0	27	7.64	1531951767109	1531951767568	stroke
run1_chairsOnly	8003-e098e500-0843-4f52-be30-ad417b6a5e47	1531951773869	11	waiting_10	M242,154c-11.742,0 -61.41782,3.94061 -65,-8c-10.26469,-34.21562 36.51898,-26.92657 23,-8c-5.01332,7.01865 -13.31483,12.65186 -20,18	1	0	27	7.64	1531951773454	1531951773863	stroke
run1_chairsOnly	8003-e098e500-0843-4f52-be30-ad417b6a5e47	1531951780413	12	waiting_09	M190,202c-40.43059,0 -41,-29.24914 -41,-64c0,-8.06226 -4.57686,-21.24478 3,-24c7.38902,-2.68692 37.89885,0.38046 29,15c-10.08439,16.56722 -35.71668,24 -54,24	1	0	30	8.48	1531951779966	1531951780396	stroke
