iterationName	gameid	time	trialNum	intendedName	svgData	currStrokeNum	shiftKeyUsed	score	bonus_score	startStrokeTime	endStrokeTime	eventType
run1_chairsOnly	0219-518d1126-9845-4349-b7c9-588fd518670d	1531955914740	1	dining_01	M124,210c0,-31.28781 -5.37266,-66.87358 4,-97c5.60734,-18.0236 11.19657,-25 28,-25c2.33333,0 5.9565,-2.087 7,0c10.15434,20.30867 -15.7662,46.55734 -26,57c-33.05654,33.73117 -77.2179,58 -125,58	1	0	0	0	1531955936835	1531955937222	stroke
run1_chairsOnly	0219-518d1126-9845-4349-b7c9-588fd518670d	1531955921798	2	dining_11	M201,68c-4.75524,0 -2.65052,16.64211 -1,19c8.53763,12.19661 46.9458,19.0542 58,8c6.04654,-6.04654 1.16592,-42.83408 -6,-50c-1.16339,-1.16339 -7.95495,-7.04505 -11,-4c-5.59418,5.59418 22.09189,36 35,36	1	0	3	0.84	1531955943143	1531955944285	stroke
run1_chairsOnly	0219-518d1126-9845-4349-b7c9-588fd518670d	1531955933769	3	dining_03	M103,49c2.71953,21.75626 19.05865,47.63519 38,59	1	0	3	0.84	1531955956037	1531955956277	stroke
run1_chairsOnly	0219-518d1126-9845-4349-b7c9-588fd518670d	1531955946397	4	dining_08	M177,166c0,-25.33333 0,-50.66667 0,-76	1	0	6	1.6	1531955968663	1531955968904	stroke
run1_chairsOnly	0219-518d1126-9845-4349-b7c9-588fd518670d	1531955953276	5	dining_06	M136,157c-28.29489,-5.65898 -41,-31.016 -41,-58c0,-12.67105 -6.60263,-27.86316 1,-38c4.36807,-5.82409 13.76787,-5.16552 21,-6c5.96045,-0.68774 12.63344,-2.68328 18,0c5.23633,2.61816 7.60711,9.89245 8,15c2.64888,34.43541 -35.4576,49 -64,49	1	0	6	1.6	1531955975332	1531955975744	stroke
run1_chairsOnly	0219-518d1126-9845-4349-b7c9-588fd518670d	1531955959171	6	dining_10	M203,138c-17.30245,0 -53.69439,-108.3185 -15,-98c9.68044,2.58145 18.62141,12.24281 23,21	1	0	6	1.6	1531955981208	1531955981676	stroke
run1_chairsOnly	0219-518d1126-9845-4349-b7c9-588fd518670d	1531955964876	7	dining_07	M209,132c-8.14036,0 -23.40879,2.1478 -32,0c-27.44058,-6.86014 -33.16499,-36 7,-36	1	0	9	2.48	1531955987073	1531955987379	stroke
run1_chairsOnly	0219-518d1126-9845-4349-b7c9-588fd518670d	1531955970773	8	dining_05	M156,148c-1.32477,-2.64954 -17.89089,-105.63635 11,-85c21.72469,15.51764 -31.66298,55 -56,55	1	0	12	3.36	1531955992876	1531955993278	stroke
run1_chairsOnly	0219-518d1126-9845-4349-b7c9-588fd518670d	1531955977142	9	dining_04	M186,188c-24.54026,0 -30.15005,-25.47481 -24,-47c0.42421,-1.48474 15.4069,-0.04827 17,2c12.63971,16.25106 11.49133,44.09056 -4,57	1	0	15	4.2	1531955999269	1531955999646	stroke
run1_chairsOnly	0219-518d1126-9845-4349-b7c9-588fd518670d	1531955983737	10	dining_09	M176,155c-6.12826,0 -6.45741,-10.89581 -7,-17c-1.44615,-16.26919 0,-32.66667 0,-49c0,-13.10072 -8.64965,-48.41241 17,-42c3.14666,0.78667 3.69154,3.31178 3,7c-4.33742,23.13292 -37.93021,37.14375 -56,47	1	0	18	5.04	1531956005885	1531956006240	stroke
run1_chairsOnly	0219-518d1126-9845-4349-b7c9-588fd518670d	1531955989932	11	dining_02	M154,237c-19.99014,0 -17.068,-54.34158 -14,-66c1.47779,-5.6156 19.69009,-21.73484 25,-12c19.86886,36.42624 -23.01706,69 -55,69	1	0	18	5.04	1531956012046	1531956012434	stroke
run1_chairsOnly	0219-518d1126-9845-4349-b7c9-588fd518670d	1531955995606	12	dining_00	M175,163c-29.46386,0 -32,-21.16832 -32,-48c0,-10.57165 -1.75855,-28.08048 1,-29c29.48174,-9.82725 9.31951,31.48607 -4,41	1	0	21	5.92	1531956017765	1531956018113	stroke
run1_chairsOnly	0219-518d1126-9845-4349-b7c9-588fd518670d	1531956001475	13	dining_06	M149,186c-29.6622,0 -54.99507,-60.00555 -39,-78c18.06275,-20.32059 88.78087,16.9377 30,49c-7.12605,3.88694 -15.01373,6.54795 -23,8	1	0	21	5.92	1531956023527	1531956023979	stroke
run1_chairsOnly	0219-518d1126-9845-4349-b7c9-588fd518670d	1531956007442	14	dining_11	M152,123c-19.83054,0 -39.51696,-7.44913 -31,-33c0.73786,-2.21359 4.66667,0 7,0c14.50195,0 33.39352,18.81943 28,35c-5.61733,16.85198 -36.77373,17 -51,17	1	0	21	5.92	1531956029513	1531956029936	stroke
run1_chairsOnly	0219-518d1126-9845-4349-b7c9-588fd518670d	1531956013402	15	dining_07	M211,155c-28.22228,0 -86.07515,-30.83091 -70,-67c7.21274,-16.22866 92.03201,9.47599 38,50	1	0	21	5.92	1531956035547	1531956035906	stroke
run1_chairsOnly	0219-518d1126-9845-4349-b7c9-588fd518670d	1531956019374	16	dining_01	M198,145c-20.78123,0 -69.61589,-35.83224 -58,-61c15.45803,-33.4924 123.20592,16.44852 49,35	1	0	21	5.92	1531956041480	1531956041873	stroke
run1_chairsOnly	0219-518d1126-9845-4349-b7c9-588fd518670d	1531956025943	17	dining_09	M169,176c-14.95813,0 -34.06272,-42.93728 -24,-53c8.96474,-8.96474 26.40474,12.19052 22,21c-4.54908,9.09816 -36.45296,8.46093 -44,9	1	0	21	5.92	1531956047997	1531956048448	stroke
run1_chairsOnly	0219-518d1126-9845-4349-b7c9-588fd518670d	1531956031621	18	dining_02	M154,180c-31.17806,0 -32.77947,-100.2919 4,-72c52.72497,40.55767 -46.48592,71.83803 -85,59	1	0	24	6.8	1531956053648	1531956054123	stroke
run1_chairsOnly	0219-518d1126-9845-4349-b7c9-588fd518670d	1531956037880	19	dining_09	M177,188c-21.51848,0 -29,-19.77027 -29,-38c0,-0.11543 -1.0275,-10.32417 1,-11c26.77234,-8.92411 31.55627,23.66624 6,39	1	0	27	7.68	1531956060000	1531956060383	stroke
run1_chairsOnly	0219-518d1126-9845-4349-b7c9-588fd518670d	1531956044063	20	dining_01	M179,221c-16.01585,-9.60951 -32.37363,-88.98802 -6,-77c4.89664,2.22574 7.97846,7.37933 10,12c17.29404,39.52923 -29.03873,64 -63,64	1	0	30	8.52	1531956066075	1531956066566	stroke
run1_chairsOnly	0219-518d1126-9845-4349-b7c9-588fd518670d	1531956049959	21	dining_06	M174,164c-28.81219,0 -18.7861,-82.30348 -16,-83c23.34916,-5.83729 42.74496,46.41835 -7,63	1	0	33	9.4	1531956072067	1531956072459	stroke
run1_chairsOnly	0219-518d1126-9845-4349-b7c9-588fd518670d	1531956056570	22	dining_11	M155,229c-4.79717,-4.79717 -8.18629,-7.6116 -10,-16c-1.85724,-8.58974 -4.25803,-82.14521 0,-88c4.22187,-5.80507 27.16255,-3.4138 31,-2c14.64572,5.39579 9.06861,44.55231 4,53c-20.07654,33.46089 -71.04483,36.8778 -105,39	1	0	36	10.24	1531956078681	1531956079066	stroke
run1_chairsOnly	0219-518d1126-9845-4349-b7c9-588fd518670d	1531956062271	23	dining_07	M155,198c-16.2601,0 -36.00102,-69.66599 -28,-75c18.6958,-12.46387 50.84788,40.19565 9,44c-3.89726,0.3543 -10.98325,1.01675 -14,-2	1	0	39	11.120000000000001	1531956084234	1531956084772	stroke
run1_chairsOnly	0219-518d1126-9845-4349-b7c9-588fd518670d	1531956068419	24	dining_02	M183,134c-21.15567,0 -23.38924,-44.25506 -15,-56c2.73998,-3.83598 9.29247,-1.75224 14,-2c0.47576,-0.02504 8.86106,-0.83338 11,1c5.05051,4.32901 4.52637,6.36924 5,13c2.10203,29.42841 -28.88434,33 -53,33	1	0	39	11.120000000000001	1531956090525	1531956090911	stroke
run1_chairsOnly	0219-518d1126-9845-4349-b7c9-588fd518670d	1531956074116	25	dining_07	M156,171c-15.1879,0 -30.19042,-104.27617 -2,-93c7.27854,2.91142 5.92173,28.6518 6,31c0.90227,27.06799 -25.29835,37 -49,37	1	0	39	11.120000000000001	1531956096218	1531956096618	stroke
