iterationName	gameid	time	trialNum	intendedName	svgData	currStrokeNum	shiftKeyUsed	score	bonus_score	startStrokeTime	endStrokeTime	eventType
run1_chairsOnly	1755-8aa10adc-e3ac-465d-ae4e-4888daa569bb	1531979154792	1	armchair_05	M82,126c0,-3.33333 0.08544,-6.66776 0,-10c-0.57374,-22.37587 -1,-44.6242 -1,-67c0,-1.49914 -1.27347,-12.72653 0,-14c3.03497,-3.03497 64.65237,-4.76499 69,-5c9.51969,-0.51458 43.94046,-5.90718 50,5c9.78213,17.60784 8.34021,43.65538 12,63c2.25887,11.93974 6.63054,23.1527 9,35c0.19612,0.98058 0.94868,2.68377 0,3c-22.35861,7.45287 -96.14826,-10.01647 -123,-13c-3.74693,-0.41633 -27,-0.83975 -27,-6	1	0	0	0	1531979178236	1531979179198	stroke
run1_chairsOnly	1755-8aa10adc-e3ac-465d-ae4e-4888daa569bb	1531979163386	2	armchair_01	M112,170c0,-27.07149 -14,-52.02074 -14,-78c0,-0.80124 -0.63848,-5.36152 0,-6c4.1499,-4.1499 75.5084,-23.84577 76,-24c3.38582,-1.06222 43.42555,-11.57445 47,-8c5.14742,5.14742 4.89845,35.21686 6,41c4.33081,22.73677 18,51.69833 18,74c0,3.66667 -7.33333,0 -11,0c-15.69188,0 -31.30357,-1 -47,-1c-15.01921,0 -97,2.57448 -97,-11	1	0	3	0.8	1531979186749	1531979187812	stroke
run1_chairsOnly	1755-8aa10adc-e3ac-465d-ae4e-4888daa569bb	1531979262366	4	armchair_10	M173,229c-8.68242,0 -14.53496,-3.60612 -20,-11c-37.16561,-50.28289 36.74039,-74.73077 57,-40c18.76171,32.16293 10.31982,34.3163 -17,42c-21.46331,6.03655 -42.7683,9 -65,9	1	0	9	1.52	1531979286130	1531979286781	stroke
run1_chairsOnly	1755-8aa10adc-e3ac-465d-ae4e-4888daa569bb	1531979348233	6	armchair_03	M72,163c0,-11.59096 -3.13015,-104.86985 2,-110c3.69089,-3.69089 77.10093,-6 84,-6c15.48531,0 49.31629,-6.60463 61,8c9.23472,11.5434 6.24867,38.22746 7,51c0.82735,14.06489 2,27.90627 2,42c0,2.33333 2.087,5.9565 0,7c-13.34239,6.67119 -44.822,0 -60,0c-12,0 -24,0 -36,0c-4,0 -8,0 -12,0c-15.4099,0 -29.36844,-3.56141 -44,-6c-1.60647,-0.26775 -3,0.87378 -3,-1	1	0	12	1.52	1531979371193	1531979372645	stroke
run1_chairsOnly	1755-8aa10adc-e3ac-465d-ae4e-4888daa569bb	1531979357436	7	armchair_08	M92,118c0,-4.33333 0,-8.66667 0,-13c0,-3.30514 -2.37657,-30.81171 0,-32c26.20278,-13.10139 103.57744,-61.7935 123,-10c10.02619,26.73651 -18.31031,32.62396 -38,42c-30.42603,14.48858 -56.66167,24.50374 -84,4	1	0	15	2.2800000000000002	1531979380709	1531979381870	stroke
run1_chairsOnly	1755-8aa10adc-e3ac-465d-ae4e-4888daa569bb	1531979366324	8	armchair_04	M104,138c0,-5.04219 -19.25946,-74.74054 -13,-81c1.71822,-1.71822 58.1641,-15.86214 63,-17c4.03045,-0.94834 50.52767,-8.47233 54,-5c4.60118,4.60118 13.10183,66.4073 16,78c0.84405,3.3762 5.4608,7.5392 3,10c-2.35702,2.35702 -6.66667,0 -10,0c-20.03218,0 -39.31754,1.82541 -59,5c-17.08602,2.75581 -33.93052,4.5615 -51,7c-1.53272,0.21896 -5,0.59161 -5,-1	1	0	18	3.04	1531979389310	1531979390754	stroke
run1_chairsOnly	1755-8aa10adc-e3ac-465d-ae4e-4888daa569bb	1531979368015	8	armchair_04	M92,130c19.3032,0 33.8115,15.90575 50,24c0.78997,0.39498 1.77209,3.22791 1,4c-2.081,2.081 -17.46179,17.76911 -19,17c-7.40032,-3.70016 -42,-32.61323 -42,-39c0,-2.20276 0.07027,-5 3,-5	2	0	18	3.04	1531979391393	1531979392451	stroke
run1_chairsOnly	1755-8aa10adc-e3ac-465d-ae4e-4888daa569bb	1531979368955	8	armchair_04	M103,145c0,-3.5844 2,-27.63902 2,-21	3	0	18	3.04	1531979392951	1531979393398	stroke
run1_chairsOnly	1755-8aa10adc-e3ac-465d-ae4e-4888daa569bb	1531979369686	8	armchair_04	M106,151c0,-2.78597 0.44682,-7 3,-7	4	0	18	3.04	1531979393744	1531979394129	stroke
run1_chairsOnly	1755-8aa10adc-e3ac-465d-ae4e-4888daa569bb	1531979371220	8	armchair_04	M213,115c37.19222,0 45,-2.3935 45,36c0,5.9864 1.61204,26.19398 -6,30c-2.56472,1.28236 -5.09498,-2.85685 -7,-5c-13.8929,-15.62951 -27.43399,-32.03999 -41,-48c-5.54429,-6.5227 -9.26446,-11.79337 -12,-20c-6.97299,-20.91896 1,-32.63378 1,-26	5	0	18	3.04	1531979394819	1531979395653	stroke
