,gameID,target,base_rep,rep_dist,corr_coef
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_05,2,2,0.14993157946655047
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_05,2,3,0.013329765339934784
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_05,2,4,0.1900973903029785
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_05,2,5,-0.03926838246952002
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_05,2,2,0.08654126813685041
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_05,2,1,0.19384489581077274
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_05,4,2,0.14993157946655045
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_05,4,1,0.32139160397998096
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_05,4,2,0.23926284060188294
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_05,4,3,0.10900933265971069
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_05,4,4,0.009636787664761517
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_05,4,3,0.0634196010095082
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_05,5,3,0.013329765339934784
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_05,5,1,0.3213916039799809
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_05,5,1,0.05812432369144188
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_05,5,2,0.24312750424360907
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_05,5,5,-0.0890309081375418
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_05,5,4,-0.03252946270298733
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_05,6,4,0.1900973903029785
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_05,6,2,0.23926284060188296
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_05,6,1,0.05812432369144188
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_05,6,1,-0.010268561706196328
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_05,6,6,0.09342763763932753
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_05,6,5,0.14079293648480148
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_05,7,5,-0.03926838246952002
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_05,7,3,0.10900933265971069
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_05,7,2,0.24312750424360904
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_05,7,1,-0.010268561706196328
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_05,7,7,-0.08576453068975186
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_05,7,6,-0.009521320353602876
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_05,0,2,0.08654126813685041
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_05,0,4,0.00963678766476152
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_05,0,5,-0.0890309081375418
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_05,0,6,0.09342763763932753
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_05,0,7,-0.08576453068975186
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_05,0,1,0.3130157706693971
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_05,1,1,0.19384489581077274
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_05,1,3,0.0634196010095082
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_05,1,4,-0.03252946270298733
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_05,1,5,0.1407929364848015
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_05,1,6,-0.009521320353602878
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_05,1,1,0.3130157706693971
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_03,2,1,-0.057561604165455096
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_03,2,3,0.07906391548433277
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_03,2,4,0.12858041771466827
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_03,2,2,0.10561289332784293
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_03,3,1,-0.057561604165455096
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_03,3,2,-0.07163887511396191
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_03,3,3,0.008146908907976163
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_03,3,3,0.1330397892554909
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_03,5,3,0.07906391548433278
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_03,5,2,-0.07163887511396191
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_03,5,1,0.11135754209298171
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_03,5,5,0.007648880067215498
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_03,6,4,0.12858041771466824
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_03,6,3,0.008146908907976163
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_03,6,1,0.11135754209298171
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_03,6,6,0.1587106558398432
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_03,0,2,0.10561289332784293
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_03,0,3,0.1330397892554909
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_03,0,5,0.007648880067215499
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_03,0,6,0.1587106558398432
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_07,4,1,0.08710495547746008
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_07,5,1,0.0871049554774601
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_00,5,5,-0.022423801754366337
0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_00,0,5,-0.022423801754366337
0,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_07,1,1,0.35738368545091026
0,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_07,1,2,0.22629274672643176
0,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_07,1,3,0.38255972859177906
0,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_07,1,4,0.4420069319723561
0,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_07,1,5,0.46722243050169404
0,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_07,1,6,0.42132323392036414
0,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_07,1,1,0.2785951220644171
0,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_07,2,1,0.35738368545091026
