,trialNum,numStrokes,repetition,gameID,condition,target,generalization,outcome,bis_score
0,1,0.4784404203541396,0,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_07,within,0.0,-0.4784404203541396
1,4,1.310510716622208,0,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_04,within,-1.0810810810810814,-2.3915917977032892
2,5,0.4784404203541396,0,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_00,within,0.0,-0.4784404203541396
3,6,1.310510716622208,0,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_01,within,0.0,-1.310510716622208
4,9,-0.35362987591392897,1,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_00,within,0.0,0.35362987591392897
5,10,-0.35362987591392897,1,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_07,within,0.0,0.35362987591392897
6,11,1.310510716622208,1,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_04,within,0.0,-1.310510716622208
7,12,0.4784404203541396,1,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_01,within,0.0,-0.4784404203541396
8,13,-0.35362987591392897,2,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_00,within,0.0,0.35362987591392897
9,14,-0.35362987591392897,2,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_07,within,0.0,0.35362987591392897
10,15,0.4784404203541396,2,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_04,within,-1.0810810810810814,-1.559521501435221
11,16,-0.35362987591392897,2,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_01,within,0.0,0.35362987591392897
12,17,-0.35362987591392897,3,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_07,within,0.0,0.35362987591392897
13,18,-0.35362987591392897,3,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_00,within,0.0,0.35362987591392897
14,19,-1.1857001721819975,3,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_01,within,-1.0810810810810814,0.10461909110091616
15,20,1.310510716622208,3,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_04,within,-1.0810810810810814,-2.3915917977032892
16,21,-0.35362987591392897,4,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_00,within,0.0,0.35362987591392897
17,22,-0.35362987591392897,4,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_01,within,0.0,0.35362987591392897
18,23,-1.1857001721819975,4,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_07,within,0.0,1.1857001721819975
19,24,0.4784404203541396,4,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_04,within,0.0,-0.4784404203541396
20,25,-0.35362987591392897,5,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_00,within,0.0,0.35362987591392897
21,26,-1.1857001721819975,5,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_07,within,0.0,1.1857001721819975
22,27,-0.35362987591392897,5,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_01,within,0.0,0.35362987591392897
23,28,-0.35362987591392897,5,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_04,within,0.0,0.35362987591392897
24,29,-0.35362987591392897,6,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_00,within,0.0,0.35362987591392897
25,30,-0.35362987591392897,6,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_01,within,0.0,0.35362987591392897
26,31,-0.35362987591392897,6,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_04,within,0.0,0.35362987591392897
27,32,-1.1857001721819975,6,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_07,within,0.0,1.1857001721819975
28,33,0.4784404203541396,7,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_04,within,0.0,-0.4784404203541396
29,34,-0.35362987591392897,7,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_01,within,0.0,0.35362987591392897
30,36,-1.1857001721819975,7,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_07,within,0.0,1.1857001721819975
31,38,-1.1857001721819975,7,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_00,within,0.0,1.1857001721819975
32,2,3.806721605426414,0,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,control,waiting_02,within,0.0,-3.806721605426414
33,3,2.1425810128902767,0,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,control,waiting_06,within,0.0,-2.1425810128902767
34,7,-1.1857001721819975,0,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,control,waiting_03,within,0.0,1.1857001721819975
35,8,-0.35362987591392897,0,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,control,waiting_05,within,0.0,0.35362987591392897
36,35,-0.35362987591392897,7,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,control,waiting_06,within,0.0,0.35362987591392897
37,37,0.4784404203541396,7,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,control,waiting_03,within,0.0,-0.4784404203541396
38,39,0.4784404203541396,7,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,control,waiting_02,within,0.0,-0.4784404203541396
39,40,-0.35362987591392897,7,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,control,waiting_05,within,0.0,0.35362987591392897
